asm_acc	year	geo	source	organism	phenotypes	genotypes	n_genes
GCA_019927315.1	2020	USA	urine	Klebsiella pneumoniae	amikacin=Susceptible;ampicillin=Resistant;ampicillin-sulbactam=Susceptible;aztreonam=Susceptible;cefazolin=Susceptible;cefepime=Susceptible;cefotaxime=Susceptible;cefotetan=Susceptible;cefoxitin=Susceptible;cefpodoxime=Susceptible;ceftazidime=Susceptible;ceftazidime-avibactam=Susceptible;ceftolozane-tazobactam=Susceptible;ceftriaxone=Susceptible;cefuroxime=Susceptible;cephalothin=Susceptible;ciprofloxacin=Susceptible;ertapenem=Susceptible;gentamicin=Susceptible;imipenem=Susceptible;levofloxacin=Susceptible;meropenem=Susceptible;moxifloxacin=Susceptible;nalidixic acid=Susceptible;nitrofurantoin=Intermediate;piperacillin-tazobactam=Susceptible;tetracycline=Susceptible;tigecycline=Susceptible;tobramycin=Susceptible;trimethoprim-sulfamethoxazole=Susceptible	blaSHV;emrD;fosA;oqxA10;oqxB25	5
GCA_019927325.1	2019	USA	urine	Klebsiella pneumoniae	amikacin=Susceptible;ampicillin=Resistant;ampicillin-sulbactam=Susceptible;aztreonam=Susceptible;cefazolin=Susceptible;cefepime=Susceptible;cefotaxime=Susceptible;cefotetan=Susceptible;cefoxitin=Susceptible;cefpodoxime=Susceptible;ceftazidime=Susceptible;ceftazidime-avibactam=Susceptible;ceftolozane-tazobactam=Susceptible;ceftriaxone=Susceptible;cefuroxime=Susceptible;cephalothin=Susceptible;ciprofloxacin=Susceptible;ertapenem=Susceptible;gentamicin=Susceptible;imipenem=Susceptible;levofloxacin=Susceptible;meropenem=Susceptible;moxifloxacin=Susceptible;nalidixic acid=Susceptible;nitrofurantoin=Intermediate;piperacillin-tazobactam=Susceptible;tetracycline=Susceptible;tigecycline=Susceptible;tobramycin=Susceptible;trimethoprim-sulfamethoxazole=Susceptible	blaSHV;emrD;fosA;oqxA;oqxB	5
GCA_019927345.1	2019	Ukraine	respiratory	Klebsiella pneumoniae	amikacin=Susceptible;ampicillin=Resistant;ampicillin-sulbactam=Resistant;aztreonam=Resistant;cefazolin=Resistant;cefepime=Resistant;cefotaxime=Resistant;cefotetan=Intermediate;cefoxitin=Resistant;cefpodoxime=Resistant;ceftazidime=Resistant;ceftazidime-avibactam=Susceptible;ceftolozane-tazobactam=Resistant;ceftriaxone=Resistant;cefuroxime=Resistant;cephalothin=Resistant;ciprofloxacin=Resistant;ertapenem=Resistant;gentamicin=Susceptible;imipenem=Resistant;levofloxacin=Resistant;meropenem=Resistant;moxifloxacin=Resistant;nalidixic acid=Resistant;nitrofurantoin=Resistant;piperacillin-tazobactam=Resistant;tetracycline=Susceptible;tigecycline=Susceptible;tobramycin=Resistant;trimethoprim-sulfamethoxazole=Susceptible	POINT:gyrA_S83I;POINT:ompK35_P255QfsTer5;POINT:parC_S80I;aac(6')-Ib-cr5;blaCTX-M;blaOXA;blaSHV;catA1;catB3;emrD;fosA;oqxA;oqxB;qnrS1	14
GCA_019927385.1	2019	South Korea	urine	Klebsiella pneumoniae	amikacin=Susceptible;ampicillin=Resistant;ampicillin-sulbactam=Resistant;aztreonam=Resistant;cefazolin=Resistant;cefepime=Resistant;cefotaxime=Resistant;cefotetan=Susceptible;cefoxitin=Susceptible;cefpodoxime=Resistant;ceftazidime=Resistant;ceftazidime-avibactam=Susceptible;ceftolozane-tazobactam=Susceptible;ceftriaxone=Resistant;cefuroxime=Resistant;cephalothin=Resistant;ciprofloxacin=Intermediate;ertapenem=Susceptible;gentamicin=Resistant;imipenem=Susceptible;levofloxacin=Intermediate;meropenem=Susceptible;moxifloxacin=Resistant;nalidixic acid=Resistant;nitrofurantoin=Intermediate;piperacillin-tazobactam=Susceptible;tetracycline=Resistant;tigecycline=Susceptible;tobramycin=Susceptible;trimethoprim-sulfamethoxazole=Susceptible	aac(3)-IId;blaCTX-M;blaLAP;blaSHV;blaTEM;dfrA1;dfrA50;emrD;fosA;oqxA;oqxB;qnrS1;sul1;tet(A)	14
GCA_019927405.1	2019	Kenya	wound	Klebsiella pneumoniae	amikacin=Susceptible;ampicillin=Resistant;ampicillin-sulbactam=Resistant;aztreonam=Resistant;cefazolin=Resistant;cefepime=Resistant;cefotaxime=Resistant;cefotetan=Susceptible;cefoxitin=Susceptible;cefpodoxime=Resistant;ceftazidime=Intermediate;ceftazidime-avibactam=Susceptible;ceftolozane-tazobactam=Susceptible;ceftriaxone=Resistant;cefuroxime=Resistant;cephalothin=Resistant;ciprofloxacin=Susceptible;ertapenem=Susceptible;gentamicin=Susceptible;imipenem=Susceptible;levofloxacin=Susceptible;meropenem=Susceptible;moxifloxacin=Susceptible;nalidixic acid=Susceptible;nitrofurantoin=Resistant;piperacillin-tazobactam=Susceptible;tetracycline=Resistant;tigecycline=Susceptible;tobramycin=Resistant;trimethoprim-sulfamethoxazole=Resistant	aac(6')-Ib-cr5;aph(3'')-Ib;aph(6)-Id;blaCTX-M;blaOXA;blaSHV;blaTEM;catB3;dfrA14;emrD;fosA;oqxA;oqxB25;sul2;tet(A)	15
GCA_019927425.1	2019	Kenya	wound	Klebsiella pneumoniae	amikacin=Susceptible;ampicillin=Resistant;ampicillin-sulbactam=Resistant;aztreonam=Susceptible;cefazolin=Susceptible;cefepime=Susceptible;cefotaxime=Susceptible;cefotetan=Susceptible;cefoxitin=Susceptible;cefpodoxime=Susceptible;ceftazidime=Susceptible;ceftazidime-avibactam=Susceptible;ceftolozane-tazobactam=Susceptible;ceftriaxone=Susceptible;cefuroxime=Susceptible;cephalothin=Susceptible;ciprofloxacin=Susceptible;ertapenem=Susceptible;gentamicin=Susceptible;imipenem=Susceptible;levofloxacin=Susceptible;meropenem=Susceptible;moxifloxacin=Susceptible;nalidixic acid=Susceptible;nitrofurantoin=Resistant;piperacillin-tazobactam=Intermediate;tetracycline=Resistant;tigecycline=Susceptible;tobramycin=Susceptible;trimethoprim-sulfamethoxazole=Susceptible	aph(3'')-Ib;aph(3')-Ia;aph(6)-Id;blaSHV;blaTEM;emrD;fosA;oqxA11;oqxB19;sul2;tet(D)	11
GCA_019927435.1	2019	USA	blood	Klebsiella pneumoniae	amikacin=Susceptible;ampicillin=Resistant;ampicillin-sulbactam=Susceptible;aztreonam=Susceptible;cefazolin=Susceptible;cefepime=Susceptible;cefotaxime=Susceptible;cefotetan=Susceptible;cefoxitin=Susceptible;cefpodoxime=Susceptible;ceftazidime=Susceptible;ceftazidime-avibactam=Susceptible;ceftolozane-tazobactam=Susceptible;ceftriaxone=Susceptible;cefuroxime=Susceptible;cephalothin=Susceptible;ciprofloxacin=Susceptible;ertapenem=Susceptible;gentamicin=Susceptible;imipenem=Susceptible;levofloxacin=Susceptible;meropenem=Susceptible;moxifloxacin=Susceptible;nalidixic acid=Susceptible;nitrofurantoin=Resistant;piperacillin-tazobactam=Susceptible;tetracycline=Susceptible;tigecycline=Susceptible;tobramycin=Susceptible;trimethoprim-sulfamethoxazole=Susceptible	blaSHV;emrD;fosA;oqxA;oqxB	5
GCA_019927465.1	2018	Thailand	wound	Klebsiella pneumoniae	amikacin=Susceptible;ampicillin=Resistant;ampicillin-sulbactam=Resistant;aztreonam=Resistant;cefazolin=Resistant;cefepime=Resistant;cefotaxime=Resistant;cefotetan=Susceptible;cefoxitin=Susceptible;cefpodoxime=Resistant;ceftazidime=Resistant;ceftazidime-avibactam=Susceptible;ceftolozane-tazobactam=Susceptible;ceftriaxone=Resistant;cefuroxime=Resistant;cephalothin=Resistant;ciprofloxacin=Susceptible;ertapenem=Susceptible;gentamicin=Resistant;imipenem=Susceptible;levofloxacin=Susceptible;meropenem=Susceptible;moxifloxacin=Susceptible;nalidixic acid=Susceptible;nitrofurantoin=Resistant;piperacillin-tazobactam=Susceptible;tetracycline=Resistant;tigecycline=Susceptible;tobramycin=Intermediate;trimethoprim-sulfamethoxazole=Resistant	POINT:ompK35_E132K;aac(3)-IId;aadA2;blaCTX-M;blaSHV;blaTEM;bleO;dfrA32;emrD;ere(A);floR;fosA;mcr-3.20;oqxA10;oqxB19;qnrS1;sul1;sul2;tet(A);tet(M)	20
GCA_019927485.1	2019	USA	urine	Klebsiella pneumoniae	amikacin=Susceptible;ampicillin=Resistant;ampicillin-sulbactam=Susceptible;aztreonam=Susceptible;cefazolin=Susceptible;cefepime=Susceptible;cefotaxime=Susceptible;cefotetan=Susceptible;cefoxitin=Susceptible;cefpodoxime=Susceptible;ceftazidime=Susceptible;ceftazidime-avibactam=Susceptible;ceftolozane-tazobactam=Susceptible;ceftriaxone=Susceptible;cefuroxime=Susceptible;cephalothin=Susceptible;ciprofloxacin=Susceptible;ertapenem=Susceptible;gentamicin=Susceptible;imipenem=Susceptible;levofloxacin=Susceptible;meropenem=Susceptible;moxifloxacin=Susceptible;nalidixic acid=Susceptible;nitrofurantoin=Intermediate;piperacillin-tazobactam=Susceptible;tetracycline=Susceptible;tigecycline=Susceptible;tobramycin=Susceptible;trimethoprim-sulfamethoxazole=Susceptible	blaSHV;emrD;fosA;oqxA;oqxB	5
GCA_019927505.1	2019	USA	urine	Klebsiella pneumoniae	amikacin=Susceptible;ampicillin=Resistant;ampicillin-sulbactam=Susceptible;aztreonam=Susceptible;cefazolin=Susceptible;cefepime=Susceptible;cefotaxime=Susceptible;cefotetan=Susceptible;cefoxitin=Susceptible;cefpodoxime=Susceptible;ceftazidime=Susceptible;ceftazidime-avibactam=Susceptible;ceftolozane-tazobactam=Susceptible;ceftriaxone=Susceptible;cefuroxime=Susceptible;cephalothin=Susceptible;ciprofloxacin=Susceptible;ertapenem=Susceptible;gentamicin=Susceptible;imipenem=Susceptible;levofloxacin=Susceptible;meropenem=Susceptible;moxifloxacin=Susceptible;nalidixic acid=Susceptible;nitrofurantoin=Resistant;piperacillin-tazobactam=Susceptible;tetracycline=Susceptible;tigecycline=Susceptible;tobramycin=Susceptible;trimethoprim-sulfamethoxazole=Susceptible	blaSHV;emrD;fosA;oqxA;oqxB19	5
GCA_019927525.1	2015	Philippines	urine	Klebsiella pneumoniae	amikacin=Susceptible;ampicillin=Resistant;ampicillin-sulbactam=Resistant;aztreonam=Resistant;cefazolin=Resistant;cefepime=Resistant;cefotaxime=Resistant;cefotetan=Resistant;cefoxitin=Resistant;cefpodoxime=Resistant;ceftazidime=Resistant;ceftazidime-avibactam=Resistant;ceftolozane-tazobactam=Resistant;ceftriaxone=Resistant;cefuroxime=Resistant;cephalothin=Resistant;ciprofloxacin=Resistant;ertapenem=Resistant;gentamicin=Resistant;imipenem=Resistant;levofloxacin=Resistant;meropenem=Resistant;moxifloxacin=Resistant;nalidixic acid=Resistant;nitrofurantoin=Resistant;piperacillin-tazobactam=Resistant;tetracycline=Resistant;tigecycline=Susceptible;tobramycin=Intermediate;trimethoprim-sulfamethoxazole=Resistant	POINT:gyrA_S83I;POINT:parC_S80I;aac(3)-IIe;aac(6')-Ib-cr5;aadA2;aph(3'')-Ib;aph(6)-Id;blaCTX-M;blaNDM;blaOXA;blaSHV;blaTEM;ble;catB3;dfrA12;dfrA14;emrD;erm(42);fosA;oqxA;oqxB;qnrB1;sul1;sul2;tet(A)	25
GCA_019927535.1	2019	USA	urine	Klebsiella pneumoniae	amikacin=Susceptible;ampicillin=Resistant;ampicillin-sulbactam=Susceptible;aztreonam=Susceptible;cefazolin=Susceptible;cefepime=Susceptible;cefotaxime=Susceptible;cefotetan=Susceptible;cefoxitin=Susceptible;cefpodoxime=Susceptible;ceftazidime=Susceptible;ceftazidime-avibactam=Susceptible;ceftolozane-tazobactam=Susceptible;ceftriaxone=Susceptible;cefuroxime=Susceptible;cephalothin=Susceptible;ciprofloxacin=Intermediate;ertapenem=Susceptible;gentamicin=Susceptible;imipenem=Susceptible;levofloxacin=Intermediate;meropenem=Susceptible;moxifloxacin=Resistant;nalidixic acid=Resistant;nitrofurantoin=Resistant;piperacillin-tazobactam=Susceptible;tetracycline=Susceptible;tigecycline=Susceptible;tobramycin=Susceptible;trimethoprim-sulfamethoxazole=Resistant	aadA2;aph(3'')-Ib;aph(3')-Ia;aph(6)-Id;blaSHV;dfrA12;emrD;fosA;mph(A);mrx(A);oqxA11;oqxB19;qnrS1;sul1;sul2	15
GCA_019927565.1	2019	USA	urine	Klebsiella pneumoniae	amikacin=Susceptible;ampicillin=Resistant;ampicillin-sulbactam=Susceptible;aztreonam=Susceptible;cefazolin=Susceptible;cefepime=Susceptible;cefotaxime=Susceptible;cefotetan=Susceptible;cefoxitin=Susceptible;cefpodoxime=Susceptible;ceftazidime=Susceptible;ceftazidime-avibactam=Susceptible;ceftolozane-tazobactam=Susceptible;ceftriaxone=Susceptible;cefuroxime=Susceptible;cephalothin=Susceptible;ciprofloxacin=Susceptible;ertapenem=Susceptible;gentamicin=Susceptible;imipenem=Susceptible;levofloxacin=Susceptible;meropenem=Susceptible;moxifloxacin=Susceptible;nalidixic acid=Susceptible;nitrofurantoin=Resistant;piperacillin-tazobactam=Susceptible;tetracycline=Susceptible;tigecycline=Susceptible;tobramycin=Susceptible;trimethoprim-sulfamethoxazole=Susceptible	blaSHV;emrD;fosA;oqxA;oqxB25	5
GCA_019927585.1	2018	Italy	respiratory	Klebsiella pneumoniae	amikacin=Susceptible;ampicillin=Resistant;ampicillin-sulbactam=Resistant;aztreonam=Intermediate;cefazolin=Resistant;cefepime=Resistant;cefotaxime=Resistant;cefotetan=Susceptible;cefoxitin=Resistant;cefpodoxime=Resistant;ceftazidime=Resistant;ceftazidime-avibactam=Resistant;ceftolozane-tazobactam=Resistant;ceftriaxone=Resistant;cefuroxime=Resistant;cephalothin=Resistant;ciprofloxacin=Susceptible;ertapenem=Intermediate;gentamicin=Susceptible;imipenem=Resistant;levofloxacin=Susceptible;meropenem=Resistant;moxifloxacin=Susceptible;nalidixic acid=Susceptible;nitrofurantoin=Intermediate;piperacillin-tazobactam=Resistant;tetracycline=Susceptible;tigecycline=Susceptible;tobramycin=Intermediate;trimethoprim-sulfamethoxazole=Resistant	POINT:ramR_A12GfsTer37;aac(6')-Ib4;aadA1;aph(3')-XV;blaSHV;blaVIM;catB2;dfrA14;emrD;fosA;mph(A);mrx(A);oqxA;oqxB25;sul1	15
GCA_019927605.1	2019	USA	urine	Klebsiella pneumoniae	amikacin=Susceptible;ampicillin=Resistant;ampicillin-sulbactam=Susceptible;aztreonam=Susceptible;cefazolin=Susceptible;cefepime=Susceptible;cefotaxime=Susceptible;cefotetan=Susceptible;cefoxitin=Susceptible;cefpodoxime=Susceptible;ceftazidime=Susceptible;ceftazidime-avibactam=Susceptible;ceftolozane-tazobactam=Susceptible;ceftriaxone=Susceptible;cefuroxime=Susceptible;cephalothin=Susceptible;ciprofloxacin=Susceptible;ertapenem=Susceptible;gentamicin=Susceptible;imipenem=Susceptible;levofloxacin=Susceptible;meropenem=Susceptible;moxifloxacin=Susceptible;nalidixic acid=Susceptible;nitrofurantoin=Resistant;piperacillin-tazobactam=Susceptible;tetracycline=Susceptible;tigecycline=Susceptible;tobramycin=Susceptible;trimethoprim-sulfamethoxazole=Susceptible	blaSHV;emrD;fosA10;oqxA;oqxB	5
GCA_019927625.1	2018	Kenya	enviromental	Klebsiella pneumoniae	amikacin=Resistant;ampicillin=Resistant;ampicillin-sulbactam=Resistant;aztreonam=Resistant;cefazolin=Resistant;cefepime=Resistant;cefotaxime=Resistant;cefotetan=Resistant;cefoxitin=Resistant;cefpodoxime=Resistant;ceftazidime=Resistant;ceftazidime-avibactam=Resistant;ceftolozane-tazobactam=Resistant;ceftriaxone=Resistant;cefuroxime=Resistant;cephalothin=Resistant;ciprofloxacin=Resistant;ertapenem=Resistant;gentamicin=Resistant;imipenem=Resistant;levofloxacin=Resistant;meropenem=Resistant;moxifloxacin=Resistant;nalidixic acid=Resistant;nitrofurantoin=Resistant;piperacillin-tazobactam=Resistant;tetracycline=Resistant;tigecycline=Susceptible;tobramycin=Resistant;trimethoprim-sulfamethoxazole=Resistant	POINT:gyrA_D87A;POINT:gyrA_S83F;POINT:parC_S80I;POINT:ramR_A19V;aac(3)-IId;aac(3)-IIe;aac(6')-Ib-cr5;aadA1;aadA2;aph(3'')-Ib;aph(3')-Ia;aph(6)-Id;arr;blaCTX-M;blaDHA;blaNDM;blaOXA;blaSHV;blaTEM;ble;catA2;catB3;cmlA5;dfrA12;dfrA14;emrD;ere(A);floR2;fosA;mph(A);mrx(A);oqxA;oqxB;qnrB4;rmtB1;sul1;sul2;tet(A);tet(G)	39
GCA_019927655.1	2018	Kenya	enviromental	Klebsiella pneumoniae	amikacin=Susceptible;ampicillin=Resistant;ampicillin-sulbactam=Susceptible;aztreonam=Resistant;cefazolin=Resistant;cefepime=Susceptible;cefotaxime=Resistant;cefotetan=Susceptible;cefoxitin=Susceptible;cefpodoxime=Resistant;ceftazidime=Resistant;ceftazidime-avibactam=Susceptible;ceftolozane-tazobactam=Susceptible;ceftriaxone=Resistant;cefuroxime=Resistant;cephalothin=Resistant;ciprofloxacin=Susceptible;ertapenem=Susceptible;gentamicin=Susceptible;imipenem=Susceptible;levofloxacin=Susceptible;meropenem=Susceptible;moxifloxacin=Susceptible;nalidixic acid=Susceptible;nitrofurantoin=Susceptible;piperacillin-tazobactam=Susceptible;tetracycline=Susceptible;tigecycline=Susceptible;tobramycin=Susceptible;trimethoprim-sulfamethoxazole=Susceptible	aac(2')-IIa;blaCTX-M;blaSHV;emrD;fosA;oqxA;oqxB	7
GCA_019927685.1	2017	Italy	blood	Klebsiella pneumoniae	amikacin=Susceptible;ampicillin=Resistant;ampicillin-sulbactam=Resistant;aztreonam=Resistant;cefazolin=Resistant;cefepime=Resistant;cefotaxime=Resistant;cefotetan=Intermediate;cefoxitin=Resistant;cefpodoxime=Resistant;ceftazidime=Resistant;ceftazidime-avibactam=Susceptible;ceftolozane-tazobactam=Resistant;ceftriaxone=Resistant;cefuroxime=Resistant;cephalothin=Resistant;ciprofloxacin=Resistant;ertapenem=Resistant;gentamicin=Resistant;imipenem=Resistant;levofloxacin=Resistant;meropenem=Resistant;moxifloxacin=Resistant;nalidixic acid=Resistant;nitrofurantoin=Resistant;piperacillin-tazobactam=Resistant;tetracycline=Intermediate;tigecycline=Intermediate;tobramycin=Resistant;trimethoprim-sulfamethoxazole=Resistant	POINT:gyrA_S83I;POINT:parC_S80I;aac(3)-IIe;aac(6')-Ib-cr5;aph(3'')-Ib;aph(6)-Id;blaCTX-M;blaKPC;blaOXA;blaSHV;blaTEM;catB3;dfrA14;emrD;fosA;oqxA;oqxB19;qnrB1;sul2	19
GCA_019927705.1	2018	USA	urine	Klebsiella pneumoniae	amikacin=Susceptible;ampicillin=Resistant;ampicillin-sulbactam=Resistant;aztreonam=Resistant;cefazolin=Resistant;cefepime=Resistant;cefotaxime=Resistant;cefotetan=Susceptible;cefoxitin=Susceptible;cefpodoxime=Resistant;ceftazidime=Resistant;ceftazidime-avibactam=Susceptible;ceftolozane-tazobactam=Susceptible;ceftriaxone=Resistant;cefuroxime=Resistant;cephalothin=Resistant;ciprofloxacin=Intermediate;ertapenem=Susceptible;gentamicin=Resistant;imipenem=Susceptible;levofloxacin=Susceptible;meropenem=Susceptible;moxifloxacin=Susceptible;nalidixic acid=Susceptible;nitrofurantoin=Resistant;piperacillin-tazobactam=Susceptible;tetracycline=Resistant;tigecycline=Susceptible;tobramycin=Resistant;trimethoprim-sulfamethoxazole=Resistant	aac(3)-IIe;aac(6')-Ib-cr5;aph(3'')-Ib;aph(6)-Id;blaCTX-M;blaOXA;blaSHV;blaTEM;catB3;dfrA14;emrD;fosA;oqxA;oqxB19;qnrB1;sul2;tet(A)	17
GCA_019927725.1	2018	USA	wound	Klebsiella pneumoniae	amikacin=Susceptible;ampicillin=Resistant;ampicillin-sulbactam=Resistant;aztreonam=Susceptible;cefazolin=Susceptible;cefepime=Susceptible;cefotaxime=Susceptible;cefotetan=Susceptible;cefoxitin=Resistant;cefpodoxime=Susceptible;ceftazidime=Susceptible;ceftazidime-avibactam=Susceptible;ceftolozane-tazobactam=Susceptible;ceftriaxone=Susceptible;cefuroxime=Resistant;cephalothin=Resistant;ciprofloxacin=Susceptible;ertapenem=Susceptible;gentamicin=Susceptible;imipenem=Susceptible;levofloxacin=Susceptible;meropenem=Susceptible;moxifloxacin=Susceptible;nalidixic acid=Resistant;nitrofurantoin=Resistant;piperacillin-tazobactam=Resistant;tetracycline=Resistant;tigecycline=Resistant;tobramycin=Susceptible;trimethoprim-sulfamethoxazole=Susceptible	blaSHV;emrD;fosA;oqxA;oqxB19	5
GCA_019927745.1	2018	USA	urine	Klebsiella pneumoniae	amikacin=Susceptible;ampicillin=Resistant;ampicillin-sulbactam=Resistant;aztreonam=Resistant;cefazolin=Resistant;cefepime=Resistant;cefotaxime=Resistant;cefotetan=Susceptible;cefoxitin=Susceptible;cefpodoxime=Resistant;ceftazidime=Resistant;ceftazidime-avibactam=Susceptible;ceftolozane-tazobactam=Susceptible;ceftriaxone=Resistant;cefuroxime=Resistant;cephalothin=Resistant;ciprofloxacin=Intermediate;ertapenem=Susceptible;gentamicin=Resistant;imipenem=Susceptible;levofloxacin=Susceptible;meropenem=Susceptible;moxifloxacin=Susceptible;nalidixic acid=Susceptible;nitrofurantoin=Resistant;piperacillin-tazobactam=Susceptible;tetracycline=Resistant;tigecycline=Susceptible;tobramycin=Resistant;trimethoprim-sulfamethoxazole=Resistant	aac(3)-IIe;aac(6')-Ib-cr5;aph(3'')-Ib;aph(6)-Id;blaCTX-M;blaOXA;blaSHV;blaTEM;catB3;dfrA14;dfrA50;emrD;fosA;oqxA10;oqxB;qnrB1;sul2;tet(A)	18
GCA_019927765.1	2018	Germany	surveillance	Klebsiella pneumoniae	amikacin=Susceptible;ampicillin=Resistant;ampicillin-sulbactam=Susceptible;aztreonam=Resistant;cefazolin=Resistant;cefepime=Susceptible;cefotaxime=Resistant;cefotetan=Susceptible;cefoxitin=Susceptible;cefpodoxime=Resistant;ceftazidime=Resistant;ceftazidime-avibactam=Susceptible;ceftolozane-tazobactam=Susceptible;ceftriaxone=Resistant;cefuroxime=Resistant;cephalothin=Resistant;ciprofloxacin=Susceptible;ertapenem=Susceptible;gentamicin=Susceptible;imipenem=Susceptible;levofloxacin=Susceptible;meropenem=Susceptible;moxifloxacin=Susceptible;nalidixic acid=Resistant;nitrofurantoin=Resistant;piperacillin-tazobactam=Susceptible;tetracycline=Resistant;tigecycline=Susceptible;tobramycin=Susceptible;trimethoprim-sulfamethoxazole=Resistant	aadA2;aph(3'')-Ib;aph(3')-Ia;aph(6)-Id;blaCTX-M;blaSHV;catA2;dfrA12;emrD;fosA;mph(A);mrx(A);oqxA;oqxB25;qnrS1;sul1;sul2;tet(A)	18
GCA_019927785.1	2017	Thailand	respiratory	Klebsiella pneumoniae	amikacin=Susceptible;ampicillin=Resistant;ampicillin-sulbactam=Resistant;aztreonam=Resistant;cefazolin=Resistant;cefepime=Resistant;cefotaxime=Resistant;cefotetan=Susceptible;cefoxitin=Susceptible;cefpodoxime=Resistant;ceftazidime=Intermediate;ceftazidime-avibactam=Susceptible;ceftolozane-tazobactam=Intermediate;ceftriaxone=Resistant;cefuroxime=Resistant;cephalothin=Resistant;ciprofloxacin=Susceptible;ertapenem=Susceptible;gentamicin=Susceptible;imipenem=Susceptible;levofloxacin=Susceptible;meropenem=Susceptible;moxifloxacin=Susceptible;nalidixic acid=Susceptible;nitrofurantoin=Intermediate;piperacillin-tazobactam=Intermediate;tetracycline=Resistant;tigecycline=Susceptible;tobramycin=Intermediate;trimethoprim-sulfamethoxazole=Resistant	aac(6')-Ib-cr5;aadA16;arr;blaCTX-M;blaSHV;blaTEM;dfrA27;emrD;fosA5;mph(A);mrx(A);oqxA;oqxB5;sul1;tet(A)	15
GCA_019927805.1	2018	Thailand	urine	Klebsiella pneumoniae	amikacin=Susceptible;ampicillin=Resistant;ampicillin-sulbactam=Resistant;aztreonam=Resistant;cefazolin=Resistant;cefepime=Resistant;cefotaxime=Resistant;cefotetan=Resistant;cefoxitin=Resistant;cefpodoxime=Resistant;ceftazidime=Resistant;ceftazidime-avibactam=Resistant;ceftolozane-tazobactam=Resistant;ceftriaxone=Resistant;cefuroxime=Resistant;cephalothin=Resistant;ciprofloxacin=Resistant;ertapenem=Resistant;gentamicin=Susceptible;imipenem=Resistant;levofloxacin=Intermediate;meropenem=Intermediate;moxifloxacin=Resistant;nalidixic acid=Resistant;nitrofurantoin=Intermediate;piperacillin-tazobactam=Resistant;tetracycline=Resistant;tigecycline=Resistant;tobramycin=Resistant;trimethoprim-sulfamethoxazole=Resistant	POINT:ramR_S29HfsTer18;aac(6')-Ib;aadA16;arr;blaCTX-M;blaIMP;blaNDM;blaOXA;blaSHV;blaTEM;ble;dfrA1;dfrA27;dfrA50;emrD;erm(B);fosA;mph(A);mrx(A);oqxA;oqxB;qnrB6;sul1;tet(A);tet(X5)	25
GCA_019927825.1	2018	USA	urine	Klebsiella pneumoniae	amikacin=Susceptible;ampicillin=Resistant;ampicillin-sulbactam=Resistant;aztreonam=Intermediate;cefazolin=Resistant;cefepime=Resistant;cefotaxime=Resistant;cefotetan=Susceptible;cefoxitin=Susceptible;cefpodoxime=Resistant;ceftazidime=Intermediate;ceftazidime-avibactam=Susceptible;ceftolozane-tazobactam=Susceptible;ceftriaxone=Resistant;cefuroxime=Resistant;cephalothin=Resistant;ciprofloxacin=Susceptible;ertapenem=Susceptible;gentamicin=Susceptible;imipenem=Susceptible;levofloxacin=Susceptible;meropenem=Susceptible;moxifloxacin=Susceptible;nalidixic acid=Susceptible;nitrofurantoin=Intermediate;piperacillin-tazobactam=Susceptible;tetracycline=Resistant;tigecycline=Susceptible;tobramycin=Resistant;trimethoprim-sulfamethoxazole=Resistant	aac(6')-Ib-cr5;aph(3'')-Ib;aph(6)-Id;blaCTX-M;blaOXA;blaSHV;blaTEM;catB3;dfrA14;dfrA50;emrD;fosA;oqxA;oqxB25;qnrB1;sul2;tet(A)	17
GCA_019927845.1	2018	USA	urine	Klebsiella pneumoniae	amikacin=Susceptible;ampicillin=Resistant;ampicillin-sulbactam=Susceptible;aztreonam=Susceptible;cefazolin=Susceptible;cefepime=Susceptible;cefotaxime=Susceptible;cefotetan=Susceptible;cefoxitin=Susceptible;cefpodoxime=Susceptible;ceftazidime=Susceptible;ceftazidime-avibactam=Susceptible;ceftolozane-tazobactam=Susceptible;ceftriaxone=Susceptible;cefuroxime=Susceptible;cephalothin=Susceptible;ciprofloxacin=Susceptible;ertapenem=Susceptible;gentamicin=Susceptible;imipenem=Susceptible;levofloxacin=Susceptible;meropenem=Susceptible;moxifloxacin=Susceptible;nalidixic acid=Susceptible;nitrofurantoin=Intermediate;piperacillin-tazobactam=Susceptible;tetracycline=Susceptible;tigecycline=Susceptible;tobramycin=Susceptible;trimethoprim-sulfamethoxazole=Susceptible	blaSHV;emrD;fosA;oqxA;oqxB14	5
